Central Bank of Kenya - Head Office,http://www.centralbank.go.ke
Diamond Trust Bank (K) Ltd - Upper Hill Rd,*** Hidden ***
Equity Bank Ltd - Buru buru,*** Hidden ***
Bank of Baroda (Kenya) Ltd - Mombasa,*** Hidden ***
Ministry of Environment & Natural Resources,*** We need a website ***
"Gaya, Dr Z - Head Office",*** Hidden ***
St.James Opticians,*** Hidden ***
Wachira Irungu & Associates,*** Hidden ***
A A of Kenya - Head Office,http://www.aakenya.co.ke
Abib Swift Travel Agencies,http://www.swiftravel.co.ke
Ace Pharmaceuticals Ltd,*** Hidden ***
Africa Registrars,*** Hidden ***
African Fruits & Vegetables Ltd,*** Hidden ***
African Heritage Design Co Ltd,*** Hidden ***
African Trade Insurance Agency (Agence pour l''Assurance du Commerce en Afrique) - Upper Hill,http://www.ati-aca.org
African Union of the Blind,http://www.afub-uafa.org
"Aga Khan Education Service, Kenya",*** Hidden ***
Air Travel & Tours Training College,*** Hidden ***
Amager Systems Engineering Ltd,*** Hidden ***
Amiran Communications Ltd,http://www.amirancomm.com
Amiran (K) Ltd,*** Hidden ***
Apple-Tech Designers Ltd,*** Hidden ***
Asker Cleaning Services,http://www.asker.co.ke
Associated Services Consultants,*** Hidden ***
Bamburi Cement Ltd - Corporate Office Nairobi,*** Hidden ***
Baptist Mission of Kenya,*** Hidden ***
Basco Products (K) Ltd,http://www.bascopaints.com
Beiyangu Ventures,http://www.beiyangu.co.ke
Bennbeat Crop,*** Hidden ***
"Bible Society of Kenya,The",http://www.biblesociety-kenya.org
Bi-mach Engineers Ltd,*** Hidden ***
Bollywood Casino,*** Hidden ***
Bomas of Kenya Ltd,http://www.bomasofkenya.co.ke
Brunswick Freight Logistic,http://www.brunswicklogistics.org
Bulerro Wangaliwa & Co. Associates,*** Hidden ***
Business Post Media Services Ltd,*** Hidden ***
Cadbury Kenya Ltd,http://www.mondelezinternational.com
Candy (K) Ltd,*** Hidden ***
Celtic (K) Ltd,http://www.celtic.nl
Centreline Projects Limited,http://www.centrelineprojects.com
Centrum Business Link,*** Hidden ***
Cheche Group,*** Hidden ***
Chemid Kenya Ltd,http://www.chemidkenya.com
CHF International/Kenya,http://www.chfinternational.org
City Hydraulics (K) Ltd,*** Hidden ***
CK Fashions,http://www.carl&petecollections.com
Clear View Enterprises Ltd,*** Hidden ***
Cocopan Construction Kenya Ltd,http://www.cocopanconstructionkenya.co.ke
Commonwealth Association of Techinical Universities & Polytechnics in Africa,http://www.capa-sec.org
Competition Authority of Kenya,http://www.cak.go.ke
Consol Glass Kenya Ltd,*** Hidden ***
Controltech Limited,*** Hidden ***
"Co-operative University College of Kenya, The - Karen Campus",http://www.cooperative.ac.ke
Cosmos International Logistics Ltd,http://cosmosinternational.co.ke
Cover Girl (1994) Kenya Ltd,*** Hidden ***
Crowne Plaza Hotel & Resorts,http://www.crownplaza.com/nbi
De Kings Traders Ltd,*** Hidden ***
DeKings Traders Ltd,http://www.denkingstraders.com
Desbro (Kenya) Ltd,http://www.desbroeastafrica.com
Domaine (K) Ltd,http://www.domainekenya.co.ke
Dong Fang Development Co. Ltd,http://www.dongfang.co.ke
E & A Industries Ltd,*** Hidden ***
"Eastern Africa Association, The",http://www.eaa-lon.co.uk
Ecopallets Kenya Limited,http://www.ecopallets.co.ke
Elgon (K) Ltd,http://www.elgonkenya.com
Elum Graphics Ltd,*** Hidden ***
Emerging Markets Communications Ltd,http://www.emc-corp.net
Ernst & Young - Upper Hill,http://www.ey.com/kenya
Eye Modes Ltd,*** Hidden ***
Facelift Advertising Ltd,http://www.faceliftlimited.co.ke
Fikira Company,*** Hidden ***
Flower Wings (K) Ltd,*** Hidden ***
FPFK Guest House (Free Pentecostal Fellowship in Kenya),http://www.fpfkguesthouse.com
Free Pentecostal Fellowship In Kenya,http://www.fpfk.or.ke
Gallamoro Network,http://www.gallamoronetwork.org
Gazebo Restaurant,*** Hidden ***
Genitems Co Ltd,*** Hidden ***
Globyte Communications Ltd,*** Hidden ***
Golden Jubilee Ltd,http://www.crownplaza.com
Greenklean Ltd,*** Hidden ***
Hans (K) Ltd,http://www.hanskenya.com
Henkel Kenya Ltd,http://www.henkel.com
Hopewell Freighters Ltd - JKIA,*** Hidden ***
Iberafrica Power (E.A) Ltd,http://www.unionfenosa.es
IGAD Climate Prediction & Applications Centre,http://www.icpac.net
Imax Kenya - Kenya Cinema,*** Hidden ***
Impact Chemicals Ltd,http://www.impactchemicals.co.ke
In Time Forwarders Ltd,*** Hidden ***
Innscor (K) Ltd - Muindi Mbingu,*** Hidden ***
International Council of African Museums (AFRICOM),http://www.african-museums.org
International Monetary Fund,http://www.imf.org
International School of Kenya,http://www.isk.ac.ke
Internet Surfpoint Ltd,*** Hidden ***
Inuka Kenya,http://www.nisisikenya.com
Irnet Coop Kenya Ltd.,http://www.irnetkenya.com
Jambojet,http://www.jambojet.com
JAT Autoparts (K) Ltd,*** Hidden ***
Jicho Four Productions,*** Hidden ***
Johari Productions,http://www.joharifive.com
Journal & Press Corp,http://www.journalnpressafrica.com
Karen Holiday Homes,*** Hidden ***
Kenan Travel & Tours,http://www.kenantravel.com
Kenital Solar Ltd,http://www.kenital.com
Kenya Aeronautical College,http://www.kac.co.ke
Kenya Air Force Golf Club,*** Hidden ***
Kenya Airports Authority - Head Office,http://www.kenyaairports.co.ke
